product_id,product_name,brand,category,price,discount_price,discount_percent,rating,reviews_count,skin_type,year,sales_count,revenue,wishlist_count,delivery_days,stock_status
18,Dove Makeup Product,Dove,Makeup,313,219.1,30,3.5,1935.0,,2025,4893,1531509,2052,5,Out of Stock
19,L'Oreal Makeup Product,L'Oreal,Makeup,687,583.95,15,3.9,1690.0,,2025,2954,2029398,1552,4,In Stock
20,Dove Skincare Product,Dove,Skincare,1010,757.5,25,4.0,1907.0,,2025,524,529240,415,5,In Stock
21,Nivea Skincare Product,Nivea,Skincare,1493,1194.4,20,4.6,2167.0,,2024,1132,1690076,776,4,In Stock
22,Himalaya Skincare Product,Himalaya,Skincare,980,833.0,15,4.1,2167.0,,2025,2608,2555840,817,5,In Stock
23,Dove Skincare Product,Dove,Skincare,1006,754.5,25,4.3,1912.0,,2025,2097,2109582,697,2,In Stock
24,L'Oreal Skincare Product,L'Oreal,Skincare,1003,902.7,10,4.2,1446.0,,2024,2797,2805391,1487,4,In Stock
25,L'Oreal Skincare Product,L'Oreal,Skincare,291,261.9,10,3.5,1548.0,,2024,1025,298275,773,1,In Stock
26,Lakme Makeup Product,Lakme,Makeup,687,480.9,30,3.6,1994.0,,2024,1856,1275072,1056,4,In Stock
27,Nykaa Skincare Product,Nykaa,Skincare,710,639.0,10,3.7,1696.0,Dry,2025,239,169690,131,7,In Stock
28,Mamaearth Haircare Product,Mamaearth,Haircare,490,416.5,15,3.6,1857.0,,2024,2784,1364160,982,2,In Stock
29,Nykaa Haircare Product,Nykaa,Haircare,280,238.0,15,3.6,1694.0,Dry,2024,3055,855400,1919,6,Out of Stock
30,Himalaya Skincare Product,Himalaya,Skincare,279,223.2,20,3.7,2332.0,,2024,4708,1313532,3347,4,Out of Stock
31,Himalaya Makeup Product,Himalaya,Makeup,510,382.5,25,3.7,1533.0,,2025,1949,993990,955,7,In Stock
32,Dove Skincare Product,Dove,Skincare,316,221.2,30,3.9,2197.0,,2024,1317,416172,905,7,In Stock
33,Dove Haircare Product,Dove,Haircare,694,624.6,10,3.9,1420.0,,2024,1578,1095132,1234,7,In Stock
34,Minimalist Makeup Product,Minimalist,Makeup,1481,1110.75,25,4.0,1595.0,,2025,3252,4816212,1306,5,Out of Stock
35,L'Oreal Haircare Product,L'Oreal,Haircare,481,384.8,20,3.6,1639.0,,2025,3606,1734486,2025,7,Out of Stock
36,Lakme Makeup Product,Lakme,Makeup,311,264.35,15,3.8,2037.0,,2025,3940,1225340,1747,5,Out of Stock
37,Lakme Skincare Product,Lakme,Skincare,303,257.55,15,,1390.0,,2025,696,210888,484,6,In Stock
38,Himalaya Makeup Product,Himalaya,Makeup,480,432.0,10,3.8,1994.0,,2025,2938,1410240,1729,2,In Stock
39,Dove Skincare Product,Dove,Skincare,313,250.4,20,,1849.0,,2024,2485,777805,1533,3,In Stock
40,Minimalist Makeup Product,Minimalist,Makeup,302,226.5,25,3.7,1994.0,,2025,650,196300,454,5,In Stock
41,Minimalist Skincare Product,Minimalist,Skincare,703,562.4,20,3.8,1179.0,,2024,2413,1696339,1201,7,In Stock
42,Nivea Skincare Product,Nivea,Skincare,694,485.8,30,4.0,1513.0,,2025,2111,1465034,1599,7,In Stock
43,Nivea Makeup Product,Nivea,Makeup,292,204.4,30,3.6,1386.0,,2024,291,84972,164,1,In Stock
44,Himalaya Skincare Product,Himalaya,Skincare,695,625.5,10,4.0,2718.0,,2024,2091,1453245,792,7,In Stock
45,Himalaya Makeup Product,Himalaya,Makeup,1486,1188.8,20,3.9,1525.0,,2025,2874,4270764,1862,2,In Stock
46,Lakme Skincare Product,Lakme,Skincare,306,275.4,10,3.8,1502.0,,2024,2662,814572,1854,4,In Stock
47,Nykaa Skincare Product,Nykaa,Skincare,682,545.6,20,3.8,1817.0,Combination,2024,1413,963666,647,4,In Stock
48,Nivea Skincare Product,Nivea,Skincare,1484,1187.2,20,4.4,1296.0,,2025,1528,2267552,1113,7,In Stock
49,Dove Haircare Product,Dove,Haircare,711,533.25,25,3.7,1285.0,,2025,2606,1852866,1962,1,In Stock
50,Lakme Makeup Product,Lakme,Makeup,281,238.85,15,3.8,1787.0,,2024,825,231825,361,5,In Stock
51,Nykaa Haircare Product,Nykaa,Haircare,481,408.85,15,3.8,1417.0,Dry,2024,4064,1954784,3217,2,Out of Stock
52,Maybelline Skincare Product,Maybelline,Skincare,504,453.6,10,3.8,2293.0,,2024,84,42336,31,1,In Stock
53,Maybelline Skincare Product,Maybelline,Skincare,504,403.2,20,3.9,1349.0,,2025,3202,1613808,1284,5,Out of Stock
54,Nykaa Haircare Product,Nykaa,Haircare,985,886.5,10,3.8,1908.0,All,2024,2005,1974925,786,2,In Stock
55,Biotique Haircare Product,Biotique,Haircare,1001,750.75,25,3.7,2340.0,,2024,1635,1636635,1221,7,In Stock
56,Dove Skincare Product,Dove,Skincare,703,597.55,15,3.5,1807.0,,2024,3993,2807079,2504,4,Out of Stock
57,Biotique Haircare Product,Biotique,Haircare,500,450.0,10,3.6,1619.0,,2025,3123,1561500,1174,2,Out of Stock
58,Nivea Skincare Product,Nivea,Skincare,286,200.2,30,3.9,1734.0,,2025,1071,306306,557,7,In Stock
59,L'Oreal Makeup Product,L'Oreal,Makeup,1008,806.4,20,4.3,2108.0,,2024,3511,3539088,2133,6,Out of Stock
60,Nykaa Haircare Product,Nykaa,Haircare,1508,1206.4,20,4.1,2075.0,Oily,2025,2663,4015804,910,3,In Stock
61,Lakme Haircare Product,Lakme,Haircare,1004,702.8,30,4.4,1676.0,,2024,3893,3908572,2885,2,Out of Stock
62,Nykaa Skincare Product,Nykaa,Skincare,279,237.15,15,3.6,1658.0,Oily,2024,1550,432450,1087,3,In Stock
63,Minimalist Makeup Product,Minimalist,Makeup,318,222.6,30,3.7,2235.0,,2024,4848,1541664,2679,2,Out of Stock
64,Minimalist Skincare Product,Minimalist,Skincare,1481,1110.75,25,4.0,1868.0,,2025,211,312491,165,3,In Stock
65,Mamaearth Haircare Product,Mamaearth,Haircare,307,230.25,25,3.7,1972.0,,2025,4347,1334529,2212,6,Out of Stock
66,Nykaa Skincare Product,Nykaa,Skincare,994,844.9,15,4.1,1999.0,Combination,2025,2031,2018814,1608,4,In Stock
67,Minimalist Makeup Product,Minimalist,Makeup,1011,707.7,30,4.3,1430.0,,2025,1045,1056495,662,5,In Stock
68,Lakme Makeup Product,Lakme,Makeup,1514,1286.9,15,4.3,2086.0,,2024,4961,7510954,3062,3,Out of Stock
69,L'Oreal Makeup Product,L'Oreal,Makeup,1482,1259.7,15,4.3,1744.0,,2025,3392,5026944,1299,6,Out of Stock
70,L'Oreal Skincare Product,L'Oreal,Skincare,698,523.5,25,4.2,1468.0,,2025,4601,3211498,3409,3,Out of Stock
71,Nykaa Skincare Product,Nykaa,Skincare,315,236.25,25,3.7,1707.0,Oily,2025,3848,1212120,1976,4,Out of Stock
72,Himalaya Skincare Product,Himalaya,Skincare,507,354.9,30,,1339.0,,2025,1325,671775,504,3,In Stock
73,Mamaearth Makeup Product,Mamaearth,Makeup,1513,1361.7,10,4.0,2271.0,,2025,1066,1612858,326,6,In Stock
74,L'Oreal Haircare Product,L'Oreal,Haircare,504,428.4,15,,1225.0,,2024,387,195048,224,7,In Stock
75,L'Oreal Makeup Product,L'Oreal,Makeup,489,342.3,30,3.7,1588.0,,2024,928,453792,523,6,In Stock
76,Minimalist Haircare Product,Minimalist,Haircare,1514,1286.9,15,4.6,1357.0,,2025,1126,1704764,742,1,In Stock
77,Mamaearth Haircare Product,Mamaearth,Haircare,713,534.75,25,4.1,1642.0,,2024,4937,3520081,3678,4,Out of Stock
78,Himalaya Makeup Product,Himalaya,Makeup,1490,1341.0,10,4.5,2157.0,,2024,4043,6024070,1373,7,Out of Stock
79,Nivea Haircare Product,Nivea,Haircare,708,637.2,10,3.8,2736.0,,2024,4909,3475572,3268,1,Out of Stock
80,Lakme Skincare Product,Lakme,Skincare,300,210.0,30,3.6,1976.0,,2024,429,128700,168,4,In Stock
81,Lakme Skincare Product,Lakme,Skincare,997,747.75,25,4.1,1782.0,,2024,542,540374,395,7,In Stock
82,Biotique Skincare Product,Biotique,Skincare,997,847.45,15,3.8,,,2024,2112,2105664,1498,3,In Stock
83,Biotique Haircare Product,Biotique,Haircare,690,621.0,10,3.6,1800.0,,2025,3934,2714460,2243,7,Out of Stock
84,L'Oreal Skincare Product,L'Oreal,Skincare,1501,1350.9,10,4.6,2041.0,,2025,114,171114,74,6,In Stock
85,Lakme Haircare Product,Lakme,Haircare,987,838.95,15,4.0,1824.0,,2024,2618,2583966,1196,1,In Stock
86,L'Oreal Haircare Product,L'Oreal,Haircare,1518,1290.3,15,4.4,1809.0,,2024,2077,3152886,1112,3,In Stock
87,Nivea Haircare Product,Nivea,Haircare,483,338.1,30,3.5,1277.0,,2025,2745,1325835,1951,6,In Stock
88,Himalaya Skincare Product,Himalaya,Skincare,995,895.5,10,3.6,2040.0,,2024,1545,1537275,818,4,In Stock
89,Nykaa Skincare Product,Nykaa,Skincare,1009,807.2,20,4.1,2262.0,All,2024,441,444969,211,7,In Stock
90,Nivea Makeup Product,Nivea,Makeup,688,584.8,15,3.7,1177.0,,2024,4564,3140032,2496,6,Out of Stock
91,Himalaya Haircare Product,Himalaya,Haircare,1491,1267.35,15,4.1,1805.0,,2025,4524,6745284,3230,3,Out of Stock
92,Himalaya Makeup Product,Himalaya,Makeup,986,690.2,30,4.1,,,2024,3611,3560446,1688,1,Out of Stock
93,Minimalist Makeup Product,Minimalist,Makeup,691,518.25,25,3.8,1880.0,,2024,2328,1608648,900,1,In Stock
94,Himalaya Makeup Product,Himalaya,Makeup,303,272.7,10,,1743.0,,2024,3149,954147,2065,7,Out of Stock
95,Himalaya Makeup Product,Himalaya,Makeup,1514,1211.2,20,4.2,1905.0,,2024,250,378500,178,6,In Stock
96,Nykaa Haircare Product,Nykaa,Haircare,292,262.8,10,3.9,2324.0,Oily,2024,4925,1438100,1725,3,Out of Stock
97,Maybelline Makeup Product,Maybelline,Makeup,289,216.75,25,3.5,1629.0,,2025,3154,911506,1324,2,Out of Stock
98,Biotique Haircare Product,Biotique,Haircare,1486,1263.1,15,4.2,1433.0,,2025,4648,6906928,1724,4,Out of Stock
99,Minimalist Haircare Product,Minimalist,Haircare,506,379.5,25,3.5,1468.0,,2025,2504,1267024,1186,4,In Stock
100,Nykaa Haircare Product,Nykaa,Haircare,695,625.5,10,4.0,1626.0,Dry,2025,3695,2568025,1940,3,Out of Stock
101,Nykaa Skincare Product,Nykaa,Skincare,1007,704.9,30,3.7,2289.0,Dry,2024,854,859978,575,2,In Stock
102,Biotique Skincare Product,Biotique,Skincare,483,434.7,10,3.7,2198.0,,2025,2781,1343223,1739,1,In Stock
103,Biotique Skincare Product,Biotique,Skincare,289,202.3,30,3.5,2130.0,,2024,2823,815847,1723,7,In Stock
104,Biotique Skincare Product,Biotique,Skincare,705,634.5,10,3.8,2131.0,,2024,1620,1142100,771,5,In Stock
105,L'Oreal Makeup Product,L'Oreal,Makeup,679,475.3,30,3.8,1774.0,,2024,2740,1860460,1974,5,In Stock
106,Himalaya Makeup Product,Himalaya,Makeup,1515,1287.75,15,4.2,2026.0,,2024,3890,5893350,2083,7,Out of Stock
107,Nykaa Haircare Product,Nykaa,Haircare,279,223.2,20,3.5,1498.0,Combination,2024,1078,300762,851,3,In Stock
108,L'Oreal Makeup Product,L'Oreal,Makeup,318,270.3,15,3.5,1608.0,,2025,552,175536,340,2,In Stock
109,Nivea Skincare Product,Nivea,Skincare,512,409.6,20,4.0,1820.0,,2024,4543,2326016,1649,2,Out of Stock
110,Nykaa Haircare Product,Nykaa,Haircare,983,786.4,20,3.8,1679.0,Dry,2025,920,904360,587,4,In Stock
111,Himalaya Skincare Product,Himalaya,Skincare,1499,1274.15,15,4.3,1874.0,,2025,4538,6802462,2099,1,Out of Stock
112,Biotique Makeup Product,Biotique,Makeup,512,435.2,15,3.5,1088.0,,2025,256,131072,164,6,In Stock
113,Maybelline Haircare Product,Maybelline,Haircare,516,464.4,10,3.7,2140.0,,2025,1534,791544,513,2,In Stock
114,Maybelline Makeup Product,Maybelline,Makeup,495,346.5,30,3.7,2165.0,,2024,913,451935,353,7,In Stock
115,L'Oreal Makeup Product,L'Oreal,Makeup,288,259.2,10,3.6,1220.0,,2024,2840,817920,2067,6,In Stock
116,Lakme Skincare Product,Lakme,Skincare,484,338.8,30,3.5,1519.0,,2025,613,296692,253,5,In Stock
117,Mamaearth Haircare Product,Mamaearth,Haircare,689,551.2,20,3.4,2289.0,,2025,4241,2922049,3047,6,Out of Stock
118,Minimalist Haircare Product,Minimalist,Haircare,694,520.5,25,3.7,1422.0,,2025,1807,1254058,794,1,In Stock
119,Maybelline Skincare Product,Maybelline,Skincare,710,568.0,20,,1784.0,,2024,1728,1226880,1073,7,In Stock
120,Nykaa Makeup Product,Nykaa,Makeup,1497,1047.9,30,4.1,1582.0,Dry,2024,3292,4928124,2130,1,Out of Stock
121,Dove Skincare Product,Dove,Skincare,1500,1050.0,30,4.6,,,2025,4686,7029000,2606,6,Out of Stock
122,Biotique Haircare Product,Biotique,Haircare,1004,853.4,15,3.9,1534.0,,2025,1109,1113436,501,3,In Stock
123,Nykaa Skincare Product,Nykaa,Skincare,687,583.95,15,3.9,2141.0,Oily,2025,1772,1217364,720,2,In Stock
124,Nykaa Haircare Product,Nykaa,Haircare,695,590.75,15,3.9,1790.0,All,2025,3364,2337980,1065,7,Out of Stock
125,Minimalist Makeup Product,Minimalist,Makeup,506,430.1,15,3.9,1483.0,,2024,3207,1622742,1449,3,Out of Stock
126,Biotique Skincare Product,Biotique,Skincare,696,591.6,15,3.6,1222.0,,2024,2675,1861800,1676,6,In Stock
127,Nykaa Makeup Product,Nykaa,Makeup,315,236.25,25,3.5,1375.0,Oily,2024,2779,875385,2137,2,In Stock
128,Biotique Haircare Product,Biotique,Haircare,1003,902.7,10,3.9,1146.0,,2025,1647,1651941,1211,4,In Stock
129,Dove Haircare Product,Dove,Haircare,481,432.9,10,3.6,,,2024,3110,1495910,2124,3,Out of Stock
130,Lakme Makeup Product,Lakme,Makeup,486,437.4,10,3.3,1980.0,,2024,2743,1333098,1904,3,In Stock
131,Minimalist Haircare Product,Minimalist,Haircare,1484,1113.0,25,4.4,2452.0,,2025,4941,7332444,3125,6,Out of Stock
132,Minimalist Makeup Product,Minimalist,Makeup,684,478.8,30,3.7,1362.0,,2024,3677,2515068,1581,5,Out of Stock
133,Dove Skincare Product,Dove,Skincare,1008,806.4,20,4.0,2072.0,,2025,1413,1424304,1064,6,In Stock
134,Maybelline Haircare Product,Maybelline,Haircare,682,613.8,10,4.2,1817.0,,2025,2031,1385142,1290,3,In Stock
135,Himalaya Skincare Product,Himalaya,Skincare,280,224.0,20,3.3,,,2025,1713,479640,993,2,In Stock
136,Himalaya Skincare Product,Himalaya,Skincare,983,835.55,15,3.8,1218.0,,2025,1579,1552157,561,5,In Stock
137,Nykaa Haircare Product,Nykaa,Haircare,298,268.2,10,4.0,1879.0,Oily,2024,2088,622224,1093,6,In Stock
138,Lakme Makeup Product,Lakme,Makeup,1489,1116.75,25,4.4,1374.0,,2024,3352,4991128,1777,7,Out of Stock
139,Maybelline Makeup Product,Maybelline,Makeup,488,341.6,30,3.9,1606.0,,2025,2287,1116056,1674,6,In Stock
140,Maybelline Skincare Product,Maybelline,Skincare,315,283.5,10,3.8,2192.0,,2025,1356,427140,777,3,In Stock
141,Himalaya Makeup Product,Himalaya,Makeup,708,637.2,10,3.9,1973.0,,2024,4079,2887932,1999,3,Out of Stock
142,Biotique Skincare Product,Biotique,Skincare,492,344.4,30,,1786.0,,2025,2725,1340700,2148,4,In Stock
143,Himalaya Haircare Product,Himalaya,Haircare,1013,810.4,20,4.0,1905.0,,2024,1332,1349316,473,6,In Stock
144,Dove Makeup Product,Dove,Makeup,1007,805.6,20,3.9,1956.0,,2025,759,764313,388,3,In Stock
145,Minimalist Makeup Product,Minimalist,Makeup,699,489.3,30,4.0,2110.0,,2024,4794,3351006,1538,7,Out of Stock
146,L'Oreal Makeup Product,L'Oreal,Makeup,482,433.8,10,3.7,2024.0,,2024,4463,2151166,2989,1,Out of Stock
147,L'Oreal Haircare Product,L'Oreal,Haircare,716,644.4,10,3.9,2282.0,,2024,3798,2719368,2882,5,Out of Stock
148,Nykaa Makeup Product,Nykaa,Makeup,295,265.5,10,3.8,1058.0,Dry,2024,4829,1424555,2124,1,Out of Stock
149,Mamaearth Skincare Product,Mamaearth,Skincare,1518,1214.4,20,3.8,2189.0,,2024,713,1082334,519,5,In Stock
150,Nykaa Skincare Product,Nykaa,Skincare,685,548.0,20,3.7,1619.0,Oily,2025,2048,1402880,913,7,In Stock
151,L'Oreal Haircare Product,L'Oreal,Haircare,1511,1133.25,25,,2354.0,,2024,3495,5280945,2640,6,Out of Stock
152,Mamaearth Haircare Product,Mamaearth,Haircare,1516,1364.4,10,,1554.0,,2024,3793,5750188,2567,4,Out of Stock
153,Maybelline Skincare Product,Maybelline,Skincare,282,239.7,15,3.7,1840.0,,2024,1545,435690,1085,3,In Stock
154,Maybelline Makeup Product,Maybelline,Makeup,316,221.2,30,3.6,1426.0,,2025,3354,1059864,1036,3,Out of Stock
155,Nivea Makeup Product,Nivea,Makeup,1486,1040.2,30,3.7,1624.0,,2024,3813,5666118,2979,3,Out of Stock
156,L'Oreal Haircare Product,L'Oreal,Haircare,1480,1184.0,20,4.5,2202.0,,2024,1903,2816440,1262,6,In Stock
157,Nivea Haircare Product,Nivea,Haircare,1004,803.2,20,,1947.0,,2024,4709,4727836,2130,5,Out of Stock
158,Biotique Makeup Product,Biotique,Makeup,518,440.3,15,3.8,2553.0,,2024,1341,694638,958,7,In Stock
159,Nykaa Haircare Product,Nykaa,Haircare,311,233.25,25,3.5,1761.0,Combination,2024,3631,1129241,1600,3,Out of Stock
160,Mamaearth Makeup Product,Mamaearth,Makeup,983,688.1,30,3.8,1901.0,,2024,3507,3447381,2582,1,Out of Stock
161,L'Oreal Skincare Product,L'Oreal,Skincare,1009,857.65,15,3.9,1631.0,,2024,1686,1701174,600,3,In Stock
162,Mamaearth Makeup Product,Mamaearth,Makeup,1001,900.9,10,3.8,1430.0,,2025,3746,3749746,2441,6,Out of Stock
163,Maybelline Skincare Product,Maybelline,Skincare,718,502.6,30,4.1,1612.0,,2024,3049,2189182,1738,7,Out of Stock
164,Mamaearth Haircare Product,Mamaearth,Haircare,504,453.6,10,,1455.0,,2024,3202,1613808,1115,4,Out of Stock
165,L'Oreal Haircare Product,L'Oreal,Haircare,489,415.65,15,3.4,,,2025,748,365772,314,7,In Stock
166,Minimalist Haircare Product,Minimalist,Haircare,695,556.0,20,3.9,1321.0,,2024,2210,1535950,676,1,In Stock
167,Himalaya Skincare Product,Himalaya,Skincare,984,688.8,30,3.9,1988.0,,2024,4147,4080648,2216,3,Out of Stock
168,Minimalist Skincare Product,Minimalist,Skincare,700,595.0,15,3.8,1428.0,,2025,4787,3350900,2157,3,Out of Stock
169,Mamaearth Haircare Product,Mamaearth,Haircare,1018,916.2,10,3.8,1424.0,,2024,904,920272,541,2,In Stock
170,Lakme Skincare Product,Lakme,Skincare,697,487.9,30,3.6,2159.0,,2025,3524,2456228,1580,5,Out of Stock
171,Himalaya Skincare Product,Himalaya,Skincare,696,626.4,10,3.8,2211.0,,2025,1757,1222872,790,1,In Stock
172,Minimalist Skincare Product,Minimalist,Skincare,506,455.4,10,4.0,,,2024,2827,1430462,1898,2,In Stock
173,Biotique Haircare Product,Biotique,Haircare,979,685.3,30,4.0,1744.0,,2024,1783,1745557,577,7,In Stock
174,Biotique Haircare Product,Biotique,Haircare,488,390.4,20,3.5,2225.0,,2024,4981,2430728,3742,4,Out of Stock
175,Nykaa Haircare Product,Nykaa,Haircare,1010,858.5,15,4.0,2107.0,All,2024,3560,3595600,2585,5,Out of Stock
176,Nykaa Skincare Product,Nykaa,Skincare,281,224.8,20,4.2,1884.0,Dry,2025,252,70812,159,1,In Stock
177,Nivea Skincare Product,Nivea,Skincare,315,252.0,20,3.7,2033.0,,2025,3305,1041075,1971,3,Out of Stock
178,Maybelline Haircare Product,Maybelline,Haircare,513,410.4,20,3.7,,,2024,4268,2189484,3184,7,Out of Stock
179,Biotique Makeup Product,Biotique,Makeup,485,412.25,15,3.4,2209.0,,2025,4546,2204810,1785,1,Out of Stock
180,Minimalist Makeup Product,Minimalist,Makeup,479,335.3,30,3.5,1455.0,,2024,816,390864,277,3,In Stock
181,Maybelline Makeup Product,Maybelline,Makeup,481,360.75,25,3.6,2024.0,,2025,4439,2135159,1863,5,Out of Stock
182,Nivea Haircare Product,Nivea,Haircare,312,218.4,30,3.7,1710.0,,2025,2377,741624,1657,3,In Stock
183,Himalaya Haircare Product,Himalaya,Haircare,1002,901.8,10,,2130.0,,2025,2981,2986962,945,4,In Stock
184,Maybelline Skincare Product,Maybelline,Skincare,295,265.5,10,4.1,2021.0,,2024,247,72865,146,7,In Stock
185,Maybelline Haircare Product,Maybelline,Haircare,300,240.0,20,3.4,1613.0,,2024,1980,594000,1579,6,In Stock
186,L'Oreal Haircare Product,L'Oreal,Haircare,1512,1058.4,30,4.3,1566.0,,2025,3632,5491584,2643,3,Out of Stock
187,Himalaya Makeup Product,Himalaya,Makeup,495,346.5,30,4.0,1941.0,,2025,658,325710,368,4,In Stock
188,Mamaearth Makeup Product,Mamaearth,Makeup,1500,1050.0,30,4.1,1547.0,,2025,3322,4983000,1102,6,Out of Stock
189,Maybelline Haircare Product,Maybelline,Haircare,718,610.3,15,4.2,2144.0,,2025,1197,859446,856,7,In Stock
190,Nykaa Haircare Product,Nykaa,Haircare,495,420.75,15,4.0,1651.0,All,2025,4332,2144340,2596,5,Out of Stock
191,L'Oreal Skincare Product,L'Oreal,Skincare,479,383.2,20,3.8,1693.0,,2025,3447,1651113,1232,5,Out of Stock
192,Minimalist Skincare Product,Minimalist,Skincare,1499,1199.2,20,4.1,1414.0,,2025,2561,3838939,888,7,In Stock
193,Minimalist Skincare Product,Minimalist,Skincare,317,253.6,20,3.6,1886.0,,2024,1844,584548,1391,7,In Stock
194,Mamaearth Makeup Product,Mamaearth,Makeup,1511,1284.35,15,4.1,1856.0,,2024,709,1071299,449,1,In Stock
195,Lakme Haircare Product,Lakme,Haircare,712,640.8,10,3.8,1832.0,,2024,2861,2037032,2044,4,In Stock
196,Maybelline Haircare Product,Maybelline,Haircare,318,286.2,10,4.0,1588.0,,2025,1419,451242,1049,4,In Stock
197,Nivea Makeup Product,Nivea,Makeup,503,402.4,20,3.9,1939.0,,2024,2036,1024108,1192,7,In Stock
198,Minimalist Makeup Product,Minimalist,Makeup,1008,856.8,15,,1582.0,,2025,196,197568,109,2,In Stock
199,L'Oreal Skincare Product,L'Oreal,Skincare,695,590.75,15,3.9,2363.0,,2024,3269,2271955,1684,2,Out of Stock
200,Lakme Skincare Product,Lakme,Skincare,994,795.2,20,4.2,2025.0,,2024,2961,2943234,1357,6,In Stock
201,Biotique Skincare Product,Biotique,Skincare,1494,1344.6,10,4.3,2080.0,,2025,1784,2665296,922,6,In Stock
202,Maybelline Makeup Product,Maybelline,Makeup,704,633.6,10,3.9,1842.0,,2025,1893,1332672,1300,2,In Stock
203,L'Oreal Makeup Product,L'Oreal,Makeup,499,424.15,15,3.6,1611.0,,2024,538,268462,323,7,In Stock
204,Dove Skincare Product,Dove,Skincare,286,243.1,15,3.9,1672.0,,2024,3026,865436,2258,7,Out of Stock
205,Nykaa Makeup Product,Nykaa,Makeup,1017,813.6,20,4.2,1685.0,Dry,2025,2009,2043153,1048,6,In Stock
206,Himalaya Skincare Product,Himalaya,Skincare,292,233.6,20,3.5,2522.0,,2024,2435,711020,1469,3,In Stock
207,Biotique Skincare Product,Biotique,Skincare,715,572.0,20,4.1,1551.0,,2024,2969,2122835,1827,7,In Stock
208,Mamaearth Haircare Product,Mamaearth,Haircare,1017,915.3,10,4.4,2025.0,,2024,4786,4867362,2851,2,Out of Stock
209,Maybelline Makeup Product,Maybelline,Makeup,1496,1346.4,10,,2126.0,,2024,1852,2770592,1206,4,In Stock
210,Minimalist Skincare Product,Minimalist,Skincare,513,436.05,15,3.7,1384.0,,2025,4111,2108943,1721,7,Out of Stock
211,Himalaya Skincare Product,Himalaya,Skincare,717,537.75,25,3.9,1613.0,,2024,3419,2451423,1901,7,Out of Stock
212,Maybelline Makeup Product,Maybelline,Makeup,988,889.2,10,4.1,1194.0,,2025,312,308256,109,3,In Stock
213,Maybelline Skincare Product,Maybelline,Skincare,308,277.2,10,3.6,1478.0,,2025,673,207284,331,6,In Stock
214,Nivea Haircare Product,Nivea,Haircare,482,409.7,15,3.4,1317.0,,2025,1066,513812,579,7,In Stock
215,Mamaearth Makeup Product,Mamaearth,Makeup,990,792.0,20,4.0,1552.0,,2025,3693,3656070,2312,5,Out of Stock
216,Lakme Skincare Product,Lakme,Skincare,691,587.35,15,4.1,2306.0,,2024,2099,1450409,1627,1,In Stock
217,Himalaya Haircare Product,Himalaya,Haircare,1488,1190.4,20,4.1,1640.0,,2024,3773,5614224,2265,2,Out of Stock
218,Dove Haircare Product,Dove,Haircare,281,196.7,30,3.9,1608.0,,2024,4598,1292038,3088,5,Out of Stock
219,Minimalist Makeup Product,Minimalist,Makeup,302,241.6,20,3.5,1889.0,,2025,3158,953716,1746,6,Out of Stock
